,budget,actor1_hashtags,actor2_hashtags,actor3_hashtags,director_hashtags,genre_point,director_point,actor_point,revenue
0,237000000,16431,141212,82306,107952,3.0003253542401422,7.877318836524299,17.04132095321861,3
1,300000000,1946081,239740,164826,5386,3.8696638324391914,2.8699307651309844,9.736709911322267,1
2,245000000,179939,45185,28352,18433,2.6484623667309526,4.08666989307229,9.67897241138114,1
3,250000000,246520,54633,116258,180973,2.661080465750875,4.206450979104478,8.62473767960193,1
4,260000000,28091,1493,3434,2617,3.0003253542401422,3.2248399923547404,4.324352236246962,4
5,258000000,112014,71089,485791,57723,3.116649083394444,3.630455370531317,9.768433322594358,1
6,260000000,61884,60330,1800,1234,3.410457096887857,2.2761343692307694,7.488074174260216,4
7,280000000,1517983,895791,336883,96919,3.0003253542401422,5.498758938775509,11.086373900614543,3
8,250000000,810684,524429,1991420,9758,3.410457096887857,3.842956889655172,17.034573199659448,1
9,250000000,635710,710144,856155,217665,3.0206521384077205,2.8792992872093017,9.636208339540373,1
10,270000000,29780,145176,26699,20430,3.0003253542401422,2.422981018981881,4.808348609096254,4
11,200000000,179939,16754,4490,3038,2.6484623667309526,2.76834763064833,8.504965583283518,4
12,200000000,1946081,239740,164826,5386,3.8696638324391914,2.8699307651309844,9.736709911322267,1
13,255000000,1946081,179529,11137,5386,1.9268519723984543,2.8699307651309844,4.969515133418974,2
14,225000000,710132,151769,30138,217665,3.0003253542401422,2.8792992872093017,8.340262518373956,1
15,225000000,38756,21795,30171,1189,3.0206521384077205,4.183262351219511,7.438383621373456,4
16,220000000,1517983,1625898,336883,96919,3.116649083394444,5.498758938775509,12.094220842478418,3
17,380000000,1946081,9676,9508,4458,3.0206521384077205,2.7835334109375,7.266623066647598,1
18,225000000,941748,29928,112093,2035,3.0003253542401422,3.0230110127542233,9.224217967433695,1
19,250000000,1007259,74961,119151,111978,3.0206521384077205,5.0260191956689875,12.148982368706337,1
20,215000000,311603,625303,6399,11971,3.0206521384077205,3.594452125443787,9.909080473564707,1
21,200000000,76667,277176,11089,148937,3.116649083394444,2.4725255790697678,8.065821231624126,4
22,250000000,1007259,74961,119151,111978,3.0206521384077205,5.0260191956689875,12.148982368706337,1
23,180000000,3402,203933,179954,2402,3.0206521384077205,5.209728712230215,6.884287380301808,4
24,207000000,82424,145492,36394,111978,3.8696638324391914,5.0260191956689875,7.609551655263197,4
25,200000000,354641,1559961,2668,107952,2.661080465750875,7.877318836524299,16.710809703007087,3
26,250000000,1625817,1518069,957543,6861,3.0003253542401422,4.216249862869199,11.561512752562376,1
27,209000000,28091,54088,11737334,8887,3.0003253542401422,2.1469587654109588,5.027495204302769,4
28,150000000,544281,70963,15331,21164,2.661080465750875,10.066577791044775,19.76035918186434,3
29,200000000,179939,25296,60575,18433,2.661080465750875,4.08666989307229,10.53707049197341,1
30,200000000,112014,71089,485791,57723,3.0206521384077205,3.630455370531317,9.768433322594358,1
31,200000000,1517983,98853,39977,14954,3.0003253542401422,5.72662856744186,11.840149757276066,1
32,200000000,36644,1946124,237160,1415364,3.116649083394444,3.3474606228686064,10.221598421539255,1
33,210000000,486044,124085,74962,8615,2.661080465750875,2.2995780982735723,9.157164155492264,4
34,200000000,15789,43853,55896,201,3.410457096887857,3.717798035,9.395365206632533,1
35,150000000,136070,499657,34939,75217,3.116649083394444,4.136542296453902,12.669768845138318,1
36,210000000,170192,28317,13930,75217,3.116649083394444,4.136542296453902,12.510275156691641,1
37,200000000,485792,229300,37431,57723,3.410457096887857,3.630455370531317,8.244141490363253,4
38,200000000,311603,625303,151549,11971,3.0206521384077205,3.594452125443787,9.268303736837737,1
39,170000000,17243,61312,63174,1495,3.0003253542401422,2.366314948275862,5.751271523076634,4
40,200000000,64189,14870,54637,7066,3.001404919424004,4.301719197727273,7.811204181032523,4
41,200000000,464340,522709,6019,3216,3.0003253542401422,2.5298021173260574,6.4828164283154734,0
42,200000000,326640,28682,1772,2483,3.001404919424004,5.334848515,12.235254447210838,1
43,200000000,246520,16433,34316,323154,2.661080465750875,2.0136004456140357,9.39353733458891,4
44,190000000,619539,1426864,447542,56475,3.8696638324391914,8.89091,11.111606219042551,3
45,200000000,705981,6733,52,3038,2.661080465750875,2.76834763064833,7.944396458848549,4
46,250000000,486044,217185,241532,20430,3.0003253542401422,2.422981018981881,7.942373533329729,1
47,190000000,207898,86499,141222,124722,3.0003253542401422,2.7981327611111118,9.623321201821787,4
48,195000000,96249,17954,171017,20430,3.0206521384077205,2.422981018981881,6.037533950989943,0
49,105000000,1559943,112023,45480,38711,3.2016229754718117,2.4076378013245034,10.908802649746926,4
50,150000000,243133,19065,19887,2068,3.2016229754718117,3.969790455958549,8.275830236050203,4
51,180000000,136207,321891,53119,184221,3.116649083394444,2.241530232673268,6.317771698849236,4
52,195000000,136070,24247,11958,75217,3.116649083394444,4.136542296453902,12.373284832791194,1
53,185000000,400644,277176,136072,237346,3.8696638324391914,5.485693051874063,11.279163992136233,1
54,175000000,797,514,10565,531,3.410457096887857,1.89672084,5.289852254379554,4
55,185000000,4818,15615,14854,572,3.0206521384077205,2.9134227405405406,9.32222946376661,4
56,185000000,207898,86499,35800,5520,3.0003253542401422,2.8558931215189878,5.723468870359065,4
57,180000000,648,176,3178,2617,3.410457096887857,3.2248399923547404,8.6496278625,4
58,140000000,83740,244931,4217,8615,2.661080465750875,2.2995780982735723,6.590696910810206,0
59,200000000,42710,5792,18010,5593,3.0003253542401422,3.4045147265400115,9.052607582941539,1
60,200000000,116251,312135,739,28450,2.8033580723518914,3.626890911111111,7.578971054950756,4
61,176000003,229305,498313,44983,1030,3.116649083394444,2.881763515229404,8.462966254478964,0
62,180000000,54088,867528,45188,9758,3.116649083394444,3.842956889655172,7.878121441387638,4
63,180000000,21793,30167,19759,1189,3.0206521384077205,4.183262351219511,9.246263816989128,1
64,178000000,217180,241529,1995620,20430,3.0003253542401422,2.422981018981881,10.07166880305058,4
65,185000000,246520,601288,15676,180973,2.661080465750875,4.206450979104478,8.916244687526898,1
66,175000000,3496,17564,215,3312,3.116649083394444,4.635540886021506,11.347023084631145,1
67,175000000,96424,123084,100405,641,3.0003253542401422,3.743904899705015,7.016590681703431,4
68,140000000,1517983,53780,61314,22236,3.116649083394444,3.9203472155591563,8.542131925334694,4
69,170000000,19887,15549,98869,140925,3.410457096887857,2.2470871192281185,7.242342532711687,0
70,170000000,941748,17263,26111,2035,1.9268519723984543,3.0230110127542233,6.433385402535608,0
71,145000000,15252,51129,3863,1705,3.0206521384077205,2.3006112054329373,7.941088931914626,4
72,175000000,941748,867528,37787,43363,3.0003253542401422,3.5634844136807815,9.841418921130456,1
73,175000000,110934,63402,43858,1489,3.410457096887857,2.7748953611691025,8.571276427401848,0
74,178000000,512084,108482,10291,5136,3.0003253542401422,2.9069972969460687,8.259407135050003,4
75,175000000,70993,2,132,2446,3.8696638324391914,2.6056436711409394,5.362902157963055,0
76,175000000,13006,498313,35361,1063,3.0003253542401422,2.3480670345911947,6.394452328269807,4
77,175000000,150172,3960,1633,3312,3.410457096887857,4.635540886021506,13.752573434395606,1
78,175000000,3102,333255,19887,22236,3.0206521384077205,3.9203472155591563,12.726930557710393,1
79,200000000,1517983,98853,39977,22236,3.0003253542401422,3.9203472155591563,11.840149757276066,1
80,170000000,1191298,181293,895842,2605,2.8033580723518914,2.3329411764705883,10.606624327520798,4
81,180000000,1137776,120764,6867,729,3.2016229754718117,4.214109916666667,9.492335882005268,1
82,170000000,50654,13639,116258,11134,2.661080465750875,4.211880023255814,9.496970224627052,1
83,175000000,327039,4216,557,135,3.0206521384077205,0.8626427142857143,5.979963766368893,0
84,170000000,1625817,234144,957543,6861,3.0003253542401422,4.216249862869199,10.227779625536863,1
85,165000000,47776,147372,108682,6512,3.410457096887857,4.2712369315068495,12.716833606594625,1
86,190000000,48694,232515,5133,12668,3.0003253542401422,3.1357527142857142,5.179194535079149,0
87,165000000,1333,6407,16513,2240,3.001404919424004,3.0542394825396824,11.856462599999999,1
88,165000000,33590,21109,6966,1729,3.116649083394444,2.855896296969697,7.686167266648357,4
89,165000000,326640,700,773,28450,3.0206521384077205,3.626890911111111,8.140819269238893,4
90,165000000,428987,117035,13601,5593,3.0003253542401422,3.4045147265400115,14.14474008691516,4
91,165000000,17556,115087,10669,2922,3.410457096887857,3.2258663526315785,8.490878807464782,4
92,200000000,743614,1283,47870,358,3.0003253542401422,1.9451596058201055,6.999595415533174,4
93,170000000,544281,141212,50033,50520,3.116649083394444,4.4849435768115935,16.497941293359172,1
94,165000000,125518,120039,237160,180973,3.0003253542401422,4.206450979104478,10.685253912799356,1
95,160000000,1559943,107622,67120,180973,3.116649083394444,4.206450979104478,12.146865565201844,1
96,15000000,1497,580,8753,6881,3.0003253542401422,5.133333333333334,15.400000000000002,2
97,250000000,74958,1007267,119151,111978,3.8696638324391914,5.0260191956689875,12.148982368706337,1
98,38000000,1426833,619571,147081,1705,2.661080465750875,2.3006112054329373,10.3591073030685,0
99,150000000,277174,706006,96846,71251,3.2016229754718117,3.2913020384615383,8.46392864982676,4
100,160000000,217180,241529,1995620,9499,3.116649083394444,2.2579329565217394,10.07166880305058,4
101,160000000,1995621,1023773,428979,18869,3.0003253542401422,4.896280567164179,13.930864271279033,1
102,150000000,120565,17554,203363,1173,2.8033580723518914,2.7602541619537275,8.679453495853522,0
